characterDisplayed,trialsLoop.thisRepN,trialsLoop.thisTrialN,trialsLoop.thisN,trialsLoop.thisIndex,thisRow.t,notes,welcomeScreen.started,welcomeScreen.stopped,spaceToStart.keys,spaceToStart.rt,spaceToStart.duration,trial.started,trialCharacterText.started,trialPressKey.started,trial.stopped,trialPressKey.keys,trialPressKey.corr,trialPressKey.rt,trialPressKey.duration,goodbyeScreen.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
4,0,22,22,2,33.78970390000177,,,,,,,33.775203000004694,33.78970390000177,33.78970390000177,34.50858800000424,4,1,0.715893499997037,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
g,0,23,23,14,34.523343799999566,,,,,,,34.50899310000386,34.523343799999566,34.523343799999566,35.67552080000314,s,0,1.1468430000022636,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
d,0,24,24,11,35.690893400002096,,,,,,,35.67606450000312,35.690893400002096,35.690893400002096,35.87483600000269,j,0,0.16982209999696352,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
h,0,25,25,15,35.88983250000456,,,,,,,35.875255999999354,35.88983250000456,35.88983250000456,35.99119140000403,n,0,0.08953620000102092,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
f,0,26,26,13,36.00732200000493,,,,,,,35.99196060000395,36.00732200000493,36.00732200000493,36.05792160000419,a,0,0.04179129999829456,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
7,0,27,27,5,36.073722900000575,,,,,,,36.058342100004666,36.073722900000575,36.073722900000575,36.14168690000224,j,0,0.061705699998128694,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
e,0,28,28,12,36.15655890000198,,,,,,,36.142127700004494,36.15655890000198,36.15655890000198,36.2583999999988,n,0,0.09904159999859985,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
n,0,29,29,20,36.273881200002506,,,,,,,36.25880260000122,36.273881200002506,36.273881200002506,36.841730899999675,e,0,0.5600974000044516,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
z,0,30,30,31,36.8568957000025,,,,,,,36.84221339999931,36.8568957000025,36.8568957000025,37.05810960000235,k,0,0.19808429999829968,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
q,0,31,31,22,37.07436350000353,,,,,,,37.05851110000367,37.07436350000353,37.07436350000353,37.50855769999907,b,0,0.42478619999747025,None,,252512,001,2024-03-04_04h59.02.449,lieDetector,2023.2.3,59.87715602623614,2024-03-04 04h59.08.999963 -0500,
,,,,,,,,,,,,,,,,,,,,37.508894400001736,,,,,,,,
